s0,d(s0),Set,f(vij)obs,f(vij=1/q0)ref,?D1(sI),?D2(sII),?D3(sIII),?D4(sIV),?D5(sI),?D6(sII),?D7(sIII)
Fluorescence Intensity-ND,1,v,1,0.35,0.0000,-86.73,0.00,-0.21,-11.0737,0.46,4.93
Fluorescence-ND ,1,t,0,0.16,0.0000,-86.73,-1.03,0.18,-244.0630,1.48,16.49
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,-1.03,0.18,-244.0630,1.48,16.49
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,-1.03,0.18,-244.0630,1.48,16.49
Fluorescence Intensity-ND,1,v,1,0.35,0.0000,-86.73,-1.03,0.18,-244.0630,1.48,16.49
Fluorescence-ND ,1,t,0,0.16,0.0000,-86.73,-2.39,0.22,-322.5452,1.50,-2.15
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,-2.39,0.22,-322.5452,1.50,-2.15
IC50 (µg/mL),-1,t,1,0.26,0.0000,-86.73,-2.39,0.22,-322.5452,1.50,-2.15
Fluorescence Intensity-ND,1,v,1,0.35,0.0000,-86.73,-2.39,0.22,-322.5452,1.50,-2.15
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,-2.39,0.22,-322.5452,1.50,-2.15
Fluorescence-ND ,1,t,0,0.16,0.0000,-86.73,0.00,-0.20,-199.7368,0.53,0.00
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,0.00,-0.20,-199.7368,0.53,0.00
IC50 (µg/mL),-1,v,1,0.26,0.0000,-86.73,0.00,-0.20,-199.7368,0.53,0.00
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,-0.20,-199.7368,0.53,0.00
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,-0.20,-199.7368,0.53,0.00
Fluorescence-ND ,1,t,1,0.16,0.0000,-86.73,0.00,-0.47,374.9888,0.54,0.00
Fluorescence-ND ,1,v,1,0.13,0.0000,-86.73,0.00,-0.47,374.9888,0.54,0.00
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,-0.47,374.9888,0.54,0.00
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,-86.73,0.00,-0.47,374.9888,0.54,0.00
Zeta Potential (mV)-ND,-1,t,1,0.24,-3.6452,-58.80,-1.03,0.30,-342.4980,-0.10,16.49
Zeta Potential (mV)-ND,-1,v,1,0.24,-34.6452,-144.48,0.00,0.14,1605.1461,0.15,0.00
Fluorescence-ND ,1,t,1,0.16,-34.6452,-144.48,0.00,0.13,2743.3034,-0.26,0.00
Fluorescence-ND ,1,t,1,0.13,-34.6452,-144.48,0.00,0.13,2743.3034,-0.26,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-34.6452,-144.48,0.00,0.13,2743.3034,-0.26,0.00
Fluorescence Intensity-ND,1,v,1,0.35,-34.6452,-144.48,0.00,0.13,2743.3034,-0.26,0.00
Fluorescence-ND ,1,t,0,0.16,31.3548,-20.00,-1.54,0.42,-339.3471,-0.23,16.49
Fluorescence-ND ,1,t,0,0.13,31.3548,-20.00,-1.54,0.42,-339.3471,-0.23,16.49
IC50 (µg/mL),-1,t,0,0.26,31.3548,-20.00,-1.54,0.42,-339.3471,-0.23,16.49
Fluorescence Intensity-ND,1,v,0,0.35,31.3548,-20.00,-1.54,0.42,-339.3471,-0.23,16.49
Fluorescence Intensity-ND,1,t,1,0.35,31.3548,-20.00,-1.54,0.42,-339.3471,-0.23,16.49
Fluorescence-ND ,1,t,1,0.16,61.3548,47.93,-1.03,0.00,-342.4980,0.08,26.43
Fluorescence-ND ,1,t,1,0.13,61.3548,47.93,-1.03,0.00,-342.4980,0.08,77.91
Fluorescence-ND ,1,v,0,0.24,80.6923,38.27,0.00,-0.84,0.0000,-0.36,0.00
Fluorescence-ND ,1,t,0,0.24,58.0500,-50.48,0.38,-0.13,0.0000,1.14,30.27
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.84,-0.13,58.3178,-0.26,7.77
Fluorescence-ND ,1,t,1,0.13,0.0000,8.68,0.84,-0.13,58.3178,-0.26,7.77
IC50 (µg/mL),-1,v,0,0.26,0.0000,8.68,0.84,-0.13,0.0000,-0.26,126.99
Fluorescence Intensity-ND,1,t,1,0.35,0.0000,8.68,0.84,-0.13,0.0000,-0.26,126.99
Fluorescence-ND ,1,t,0,0.24,-19.6244,17.47,0.38,-0.13,95.9422,-0.43,7.28
Fluorescence-ND ,1,t,0,0.24,0.0000,-86.73,0.00,-0.06,0.0000,2.62,0.00
Fluorescence-ND ,1,v,1,0.16,-48.8244,-148.88,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,1,0.16,-48.8244,-148.88,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.24,-45.1244,-145.98,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.16,-44.6244,-135.48,0.38,-0.13,95.9422,1.14,7.28
IC50 (µg/mL),-1,v,1,0.26,-44.6244,-135.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,1,0.16,-36.6452,-51.57,0.00,0.78,-420.9800,0.13,0.00
Fluorescence-ND ,1,t,1,0.13,-36.6452,-51.57,0.00,0.78,-420.9800,0.13,0.00
Zeta Potential (mV)-ND,-1,t,1,0.24,-36.6452,-51.57,0.00,0.78,-420.9800,0.13,0.00
Zeta Potential (mV)-ND,-1,v,1,0.24,-36.6452,-51.57,0.00,0.78,-420.9800,0.13,0.00
Fluorescence-ND ,1,t,0,0.24,11.3548,11.68,-0.79,0.18,514.0361,-0.64,103.20
Fluorescence-ND ,1,t,0,0.24,11.3548,11.68,-0.79,0.18,514.0361,-0.64,103.20
Fluorescence-ND ,1,t,0,0.24,-34.3452,-146.18,0.00,1.26,-331.2233,2.09,0.00
Fluorescence-ND ,1,v,0,0.24,-15.3077,-144.48,0.00,-2.39,0.0000,-1.88,0.01
Fluorescence-ND ,1,t,0,0.16,-34.6452,-144.48,0.00,0.19,898.4883,-0.20,0.00
